id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,price,jenis_sepakbola,jenis_badminton,jenis_tenis,jenis_voli,jenis_futsal,jenis_basket,fasilitas_wifi,fasilitas_parkir_motor,fasilitas_parkir_mobil,fasilitas_wc,fasilitas_kantin,fasilitas_mushola
S375,Lapangan Kwarasan,-7.9075884,110.6210925,"3JRC+XC8, Kwarasan Wetan, Kedung Keris, Kabupaten Gunung Kidul",Kedung Keris,Gunung Kidul,4.1,27,36000,1,0,0,0,0,0,0,0,0,1,0,0
S580,Lapangan Tanah Miring Natah Wetan,-7.8470231,110.6584352,"5M35+59V, Natah Wetan, Natah, Kabupaten Gunung Kidul",Natah,Gunung Kidul,5,2,60000,1,0,0,0,0,0,0,1,0,0,1,1
S873,Kwarasan Kulon Field,-7.9039138,110.6143467,"3JW7+CPQ, Kwarasan Kulon, Kedung Keris, Kabupaten Gunung Kidul",Kedung Keris,Gunung Kidul,3.8,17,46000,1,0,0,0,0,0,0,1,0,1,0,1
S935,Gelora Lapangan Wotgalih,-7.8579781,110.6461681,"4JRW+HMQ, Jl. Natah, Wotogalah, Pilangrejo, Kabupaten Gunung Kidul",Pilangrejo,Gunung Kidul,5,1,63000,1,0,0,0,0,0,0,0,0,1,0,0
S908,Sapoe Djagat,-7.9142574,110.59335,"Jl. Alternatif Karangmojo, Gatak, Gari, Kabupaten Gunung Kidul",Gari,Gunung Kidul,5,1,44000,1,0,0,0,0,0,0,1,0,1,1,0
S110,Lapangan Ngawen,-7.8395552,110.7023654,"5P62+5WH, Gantiwarno, Kampung, Kabupaten Gunung Kidul",Kampung,Gunung Kidul,4.7,32,37000,1,0,0,0,0,0,0,1,1,0,0,1
S809,Lapangan PorongTahunan,-7.8609247,110.7328464,"4PQM+J4Q, Tahunan, Bulurejo, Kabupaten Gunung Kidul",Bulurejo,Gunung Kidul,5,2,41000,1,0,0,0,0,0,0,1,0,1,0,1
S894,Lapangan Sepak Bola Jurangjero,-7.8219211,110.698217,"5MHX+67P, Purworejo, Jurangjero, Kabupaten Gunung Kidul",Jurangjero,Gunung Kidul,5,1,50000,1,0,0,0,0,0,1,1,1,1,0,0
S182,Lapangan Semin,-7.8656798,110.7329305,"4PMM+P5F, Semin, Kabupaten Gunung Kidul",Semin,Gunung Kidul,4.3,11,54000,1,0,0,0,0,0,0,1,1,0,1,1
S602,LapVolly Srdx Fmly Dawe,-7.829085,110.7127828,"5PC7+947, Dawe, Bendung, Kabupaten Gunung Kidul",Bendung,Gunung Kidul,5,1,60000,1,0,0,0,0,0,1,0,1,1,0,0
